연도,분기,상권_코드,점포수,시간대_00~06_매출_금액_평균,시간대_06~11_매출_금액_평균,시간대_11~14_매출_금액_평균,시간대_14~17_매출_금액_평균,시간대_17~21_매출_금액_평균,시간대_21~24_매출_금액_평균,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,폴리곤_좌표,상권_중앙위경도_값,00~06시_지하철,06~11시_지하철,11~14시_지하철,14~17시_지하철,17~21시_지하철,21~24시_지하철,00~06시_버스,06~11시_버스,11~14시_버스,14~17시_버스,17~21시_버스,21~24시_버스,포함된_버정_수,포함된_역_수
2020,1,2110949,6,125163.15018315018,217164.8791208791,256343.26373626373,217222.53663003663,304378.8241758242,222872.31501831504,618.0,300.0,0.0,300.0,1683.0,5.0,0.0,5.0,17.0,8.0,10.0,7.0,65.0,396526,79731,74381,59037,63254,75824,44299,57612,59407,58948,59700,60271,52877,47711,201717,446819,11680,"POLYGON ((201834.4006 446766.3146, 201863.6311 446719.09050000104, 201838.6536 446703.3062, 201809.139 446750.22629999905, 201780.7106 446732.120999999, 201720.48070000001 446693.7783, 201712.0948 446691.235300001, 201726.2507 446632.277000001, 201659.3058 446615.55220000097, 201659.2835 446615.6384, 201649.835 446612.97770000104, 201649.788 446613.1746, 201622.02000000002 446729.737500001, 201613.7096 446764.622199999, 201587.9234 446872.8661, 201575.4745 446925.122400001, 201574.9576 446926.013800001, 201574.9138 446926.089299999, 201641.5417 446967.5343, 201649.872 446972.7161, 201705.2697 447007.1755, 201729.2843 447022.6368, 201763.85 446968.1458, 201794.2055 446920.283700001, 201791.8006 446914.49960000097, 201774.9484 446872.8158, 201812.406 446814.650900001, 201812.591 446814.3639, 201840.8775 446770.4396, 201834.4006 446766.3146))","37.520855545263544, 127.01942289119167",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110951,3,94688.22344322344,66467.59340659341,80462.01098901099,87369.39926739926,188897.89743589744,155364.44688644688,1039.0,580.0,0.0,580.0,273.0,16.0,5.0,76.0,41.0,9.0,5.0,3.0,22.0,582009,129649,110418,81362,85360,106288,68932,85107,89345,88383,89759,89112,74083,66223,202246,446821,11680,"POLYGON ((202191.9843 446916.686100001, 202201.2874 446902.1634, 202232.6289 446922.125700001, 202258.7194 446938.743100001, 202290.856 446888.823000001, 202264.4944 446871.6887, 202260.8755 446869.3367, 202233.6509 446851.6424, 202271.0495 446802.8433, 202286.7372 446814.9055, 202310.7897 446830.44180000003, 202336.2022 446846.8561, 202363.9207 446802.4868, 202343.8758 446789.9493, 202322.2581 446776.428099999, 202297.6909 446761.062200001, 202308.6728 446739.1314, 202322.0765 446712.3639, 202302.0858 446701.59070000105, 202286.0781 446694.3945, 202282.8781 446694.8345, 202259.3633 446698.071, 202248.7543 446699.5308, 202238.3105 446697.11470000097, 202233.0355 446695.87460000097, 202209.0048 446691.5932, 202180.422 446688.7038, 202170.4117 446716.9384, 202150.1599 446774.059599999, 202163.7699 446770.434800001, 202185.30000000002 446777.3159, 202192.1284 446779.498299999, 202193.5162 446779.4943, 202226.3902 446779.40080000105, 202221.4722 446782.560799999, 202226.7378 446802.96759999904, 202211.8668 446815.268300001, 202193.8777 446829.934800001, 202167.7684 446856.90320000105, 202166.4354 446862.0261, 202164.6533 446868.7651, 202127.1256 446926.629000001, 202129.6507 446928.223099999, 202152.4552 446942.621300001, 202153.0211 446942.9783, 202168.7719 446952.9224, 202191.9843 446916.686100001))","37.52087242965624, 127.02540700249948",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110952,3,177736.46153846153,127178.9194139194,105252.36630036632,103031.02564102564,217967.51282051284,173673.84981684983,879.0,583.0,0.0,583.0,117.0,27.0,1.0,131.0,89.0,23.0,8.0,2.0,3.0,235902,70687,51541,26673,25419,32824,28758,34098,34125,34124,34019,33613,32730,33196,202328,445762,11680,"POLYGON ((202403.3906 445735.6132, 202362.1278 445684.216, 202321.4746 445717.158, 202300.2172 445690.867900001, 202277.8928 445663.2577, 202223.4076 445706.8445, 202215.8427 445702.3595, 202244.8869 445738.4586, 202251.1027 445746.184699999, 202264.7383 445763.1328, 202293.5286 445798.17600000097, 202317.0209 445826.77009999903, 202318.4239 445828.4771, 202352.3723 445841.1555, 202402.1626 445859.749199999, 202421.3833 445807.9779, 202434.0648 445773.8224, 202405.0735 445737.710200001, 202403.3906 445735.6132))","37.5113305986889, 127.02633124285852",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110954,3,34587.754578754575,56082.1391941392,74176.18681318681,83521.20512820513,138064.70695970696,89737.90842490843,497.0,335.0,0.0,335.0,636.0,3.0,0.0,28.0,2.0,3.0,0.0,0.0,1.0,540467,51576,69587,85788,106277,160865,66375,75635,77314,77420,80311,84004,82246,63536,202535,444783,11680,"POLYGON ((202601.3498 444695.1853, 202570.6141 444630.10390000104, 202568.4382 444625.495999999, 202554.8227 444661.5644, 202454.2652 444622.9301, 202450.8293 444632.0277, 202442.9917 444652.7807, 202428.8323 444690.269200001, 202485.9385 444773.533399999, 202467.0114 444786.432, 202436.2453 444807.3993, 202490.6066 444887.3946, 202490.6366 444887.4386, 202528.9504 444943.818700001, 202579.9286 444908.932800001, 202603.4746 444892.8203, 202639.6487 444868.065099999, 202638.8588 444864.3651, 202599.589 444810.138900001, 202585.0354 444790.0428, 202598.2659 444754.6963, 202612.0234 444717.9438, 202612.0564 444717.855900001, 202601.3498 444695.1853))","37.50250921505765, 127.02866917807879",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110955,30,221061.4831501832,145577.44835164837,110301.36996336996,137054.14212454212,316572.7293040293,240127.5901098901,7080.0,4369.0,0.0,4369.0,3430.0,175.0,41.0,975.0,495.0,132.0,140.0,68.0,107.0,2839662,749107,617360,349220,341015,439498,343461,415057,418275,411498,411538,408607,386684,388001,202593,445514,11680,"POLYGON ((202740.3376 445697.1369, 202757.2976 445685.259400001, 202776.1656 445672.0448, 202808.7827 445586.129000001, 202827.2044 445537.605599999, 202841.8579 445499.007200001, 202782.7719 445468.4626, 202706.3491 445428.954600001, 202719.9046 445393.599099999, 202841.8168 445439.251700001, 202851.5242 445413.424799999, 202856.5143 445400.1483, 202859.3741 445392.53979999904, 202876.0861 445348.076099999, 202844.4155 445336.089600001, 202815.2909 445325.0672, 202785.4663 445313.7799, 202754.9378 445302.22540000104, 202729.6101 445292.639900001, 202726.6497 445291.5195, 202712.3809 445286.1193, 202657.9958 445265.53680000105, 202636.8747 445257.54329999903, 202604.1769 445245.168400001, 202533.9429 445218.3936, 202515.8583 445265.026799999, 202503.3299 445297.3334, 202393.9023 445325.5744, 202392.1884 445382.254899999, 202390.4615 445439.3244, 202389.7892 445457.1373, 202386.7109 445478.07399999903, 202380.1338 445492.242799999, 202372.4176 445507.22760000103, 202366.0424 445515.7774, 202359.5935 445522.1522, 202352.2064 445528.3411, 202323.8452 445551.123400001, 202350.3565 445584.0616, 202308.5013 445617.4186, 202313.5368 445623.6908, 202326.5548 445639.906, 202330.9277 445645.35280000104, 202373.0649 445612.273700001, 202403.795 445650.4519, 202436.1151 445624.261700001, 202457.3735 445650.53680000105, 202509.1971 445714.5891, 202540.0823 445689.5507, 202570.8524 445727.465, 202603.1315 445767.2382, 202662.1206 445792.505899999, 202692.6502 445805.370300001, 202696.0011 445806.78229999903, 202723.4187 445818.3347, 202725.4997 445815.3268, 202748.9287 445746.5447, 202722.5515 445709.59259999904, 202740.3376 445697.1369))","37.50909540147428, 127.02932769615451",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110957,6,156661.2838827839,178317.77838827838,198166.52380952385,156492.99633699632,301861.6923076923,213228.9542124542,1816.0,1116.0,0.0,1116.0,1251.0,51.0,1.0,145.0,166.0,105.0,44.0,40.0,31.0,977352,186377,204757,167145,166047,162581,90444,150441,160073,154636,158291,152560,105859,95493,202799,446480,11680,"POLYGON ((202792.4821 446690.2577, 202807.2995 446653.575200001, 202863.0867 446675.809, 202887.4175 446615.560799999, 202915.8124 446545.2479, 202917.1833 446487.83940000104, 202918.0231 446452.680400001, 202920.2874 446357.862400001, 202938.7471 446365.070699999, 202972.4566 446378.2333, 202981.4886 446379.496300001, 202999.9306 446303.9462, 202955.0191 446293.2545, 202911.5517 446282.9059, 202866.1982 446272.1083, 202844.5415 446328.285499999, 202784.9713 446305.024800001, 202727.5372 446282.598099999, 202693.7657 446269.41159999906, 202688.5127 446283.3497, 202678.9149 446308.816299999, 202666.3617 446342.124500001, 202724.5549 446363.5502, 202724.537 446364.04130000103, 202720.8125 446391.92, 202719.6753 446400.4319, 202714.9282 446410.5528, 202608.4347 446370.59180000104, 202607.924 446371.971000001, 202598.6226 446397.0495, 202702.8359 446436.3343, 202698.2798 446446.0482, 202689.3806 446465.0208, 202684.8704 446474.637700001, 202674.9602 446495.7674, 202661.0728 446525.3749, 202625.6013 446511.2415, 202623.2023 446510.285399999, 202612.9421 446537.3193, 202649.2505 446550.58060000103, 202647.6055 446554.0875, 202642.2393 446565.5273, 202633.4411 446584.285, 202628.1429 446595.58080000104, 202624.8309 446602.6417, 202699.0535 446631.89550000103, 202744.2531 446649.7103, 202736.7829 446668.2009, 202792.4821 446690.2577))","37.51779849799859, 127.03166130118623",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110958,3,114302.17582417582,177742.64835164836,222298.4542124542,157329.663003663,193853.83516483515,90248.08791208793,858.0,528.0,0.0,528.0,994.0,29.0,6.0,161.0,60.0,19.0,6.0,27.0,11.0,477623,71759,99564,89117,90964,86147,40072,75865,81149,78223,79799,75255,47320,40011,202861,444863,11680,"POLYGON ((202966.5294 445032.459000001, 203019.5236 444996.4312, 203028.0033 445002.6723, 203035.6582 444982.202400001, 203041.7448 444965.92600000097, 203059.6185 444918.1294, 203080.5332 444862.203199999, 203046.4587 444849.482799999, 203009.6412 444835.738299999, 202974.1897 444822.502800001, 202974.8528 444757.3314, 202975.2654 444716.7147, 202975.4494 444716.5197, 202968.7056 444710.161699999, 202961.6298 444703.490599999, 202931.5615 444675.1434, 202917.639 444711.013900001, 202910.0348 444730.60459999903, 202859.8685 444710.16190000105, 202841.6458 444702.7589, 202808.7282 444689.386299999, 202770.2093 444674.5955, 202758.5171 444670.10579999903, 202747.6105 444704.586200001, 202760.9382 444715.2433, 202770.4599 444719.1107, 202793.6257 444728.5197, 202779.3072 444765.622199999, 202777.0392 444771.4991, 202753.4458 444762.315500001, 202712.9541 444746.554300001, 202678.0313 444814.1472, 202691.4049 444832.6472, 202639.6487 444868.065099999, 202640.2187 444870.7401, 202666.8408 444909.0602, 202672.3841 444894.4944, 202713.8151 444866.124299999, 202750.1133 444841.269099999, 202767.2471 444843.7854, 202805.4927 444849.40190000104, 202805.2265 444860.3599, 202804.3119 444897.96780000103, 202878.9416 444926.295299999, 202883.3078 444923.309599999, 202883.5219 444922.7326, 202920.3403 444936.869100001, 202925.3712 444943.9571, 202939.6877 444964.1272, 202888.3126 444998.8331, 202901.0222 445017.5441, 202928.6473 445058.214199999, 202966.5294 445032.459000001))","37.5032290671925, 127.03235633361939",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110959,3,36192.9010989011,70482.10622710623,57687.93772893772,76533.69963369964,104579.86813186812,75059.08791208791,365.0,166.0,0.0,166.0,271.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,56.0,121462,20245,23950,21111,21272,23133,11748,17793,18829,18324,18910,18504,14824,14276,202862,447325,11680,"POLYGON ((202942.1563 447344.5057, 202927.1846 447210.184599999, 202877.2459 447211.698799999, 202843.8462 447212.711200001, 202825.1683 447213.584899999, 202774.2017 447215.9681, 202778.9069 447327.5342, 202780.9732 447371.3309, 202782.3757 447401.0656, 202782.5816 447405.4307, 202784.2191 447440.1504, 202856.024 447436.7502, 202884.6454 447435.3949, 202900.6492 447434.637, 202951.6468 447432.222100001, 202945.6738 447377.0186, 202942.1563 447344.5057))","37.525411777447985, 127.03237722460005",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110960,3,83584.97435897436,111576.72527472528,122343.2673992674,133726.93772893774,281419.74725274724,193622.3223443224,719.0,417.0,0.0,417.0,1522.0,16.0,22.0,125.0,28.0,4.0,23.0,3.0,34.0,119943,30420,25968,16250,15706,18314,13286,17692,18240,17917,18057,17336,15266,15436,203014,443099,11680,"POLYGON ((203089.5234 443171.0112, 203104.4901 443134.7261, 203113.2912 443113.389, 203096.0997 443091.35359999904, 203078.8152 443069.198799999, 203102.6753 443034.9548, 203111.5097 443022.275699999, 203075.4032 443006.4223, 203058.7884 442999.1271, 203020.748 442982.4246, 203015.3233 442995.0765, 202997.3723 443036.9428, 202988.207 443061.204700001, 202980.4248 443081.805199999, 202972.52850000001 443102.707900001, 202957.367 443142.8423, 202936.3663 443134.9573, 202922.4795 443172.507200001, 202914.7999 443193.2733, 202935.2622 443201.3566, 202947.196 443206.070699999, 202976.7557 443215.423, 203014.7953 443160.922, 203024.9136 443146.4252, 203052.6648 443165.85359999904, 203012.5972 443223.9155, 203016.6042 443224.774599999, 203045.22580000001 443230.91599999904, 203055.195 443219.1972, 203065.5231 443205.3225, 203069.5636 443199.5462, 203089.5234 443171.0112))","37.48733482260059, 127.03407945616239",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110961,6,119836.26007326008,151925.64468864468,246173.4267399267,164178.79304029304,250619.0054945055,162960.55128205128,2169.0,1298.0,0.0,1298.0,962.0,52.0,0.0,217.0,168.0,85.0,41.0,19.0,82.0,782811,153989,160633,125381,125622,137013,80173,117576,121546,121227,121549,118337,94532,88046,203036,445734,11680,"POLYGON ((202926.7408 445898.4563, 202948.3845 445840.72609999997, 202955.9263 445843.5107, 202995.1368 445857.9877, 203027.3034 445869.8642, 203057.261 445880.9256, 203064.8442 445857.8179, 203076.6158 445821.9504, 203087.4972 445788.7938, 203101.0438 445750.4583, 203111.1691 445728.6777, 203138.9048 445671.147600001, 203162.0143 445626.09029999905, 203225.9631 445542.6571, 203197.3635 445531.898700001, 203176.0128 445523.8674, 203163.6269 445519.2082, 203136.5703 445509.0299, 203119.9668 445553.0713, 203033.3371 445521.2226, 203008.0493 445511.925799999, 202998.7254 445536.90410000103, 202992.0268 445554.849199999, 203103.3152 445597.2426, 203083.3105 445650.3069, 203035.3572 445632.338199999, 203003.2581 445620.309699999, 202971.9681 445608.5844, 202956.8456 445649.096899999, 202932.6547 445713.902899999, 202926.9745 445729.04869999905, 202914.8491 445761.3813, 202901.6326 445796.6207, 202892.7903 445820.1994, 202882.1129 445848.669, 202871.3136 445877.4636, 202861.4692 445903.713199999, 202854.0533 445923.487199999, 202885.4931 445935.46660000103, 202877.1508 445955.243799999, 202893.582 445961.2413, 202902.0897 445964.3467, 202929.2039 445899.3892, 202926.7408 445898.4563))","37.511076260927844, 127.03433908142084",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110963,3,38957.30036630037,77684.63736263737,118235.0695970696,64641.17582417582,91409.68131868132,63732.57875457876,1724.0,847.0,0.0,847.0,780.0,43.0,3.0,184.0,115.0,87.0,10.0,30.0,114.0,424152,125142,93700,49245,46071,57538,52455,62875,63050,61860,62574,61564,55440,56790,203260,443659,11680,"POLYGON ((203334.626 443760.667300001, 203351.3395 443717.256999999, 203371.4932 443724.919299999, 203426.2025 443745.721000001, 203446.5396 443692.47839999903, 203457.5385 443663.6831, 203382.8766 443635.3442, 203340.4825 443619.253000001, 203320.8265 443611.792300001, 203307.8427 443606.8642, 203232.5987 443578.305199999, 203178.2607 443557.6801, 203159.6718 443550.6242, 203078.4469 443519.7941, 203070.9683 443539.3223, 203080.4805 443542.945499999, 203121.2049 443558.45759999903, 203113.9219 443577.5383, 203105.6804 443599.129899999, 203134.6769 443609.85260000103, 203136.6341 443610.576400001, 203144.9312 443588.9844, 203148.2373 443580.3807, 203151.7673 443581.90190000104, 203166.3801 443587.615, 203169.7582 443578.778200001, 203219.9735 443597.9998, 203224.4294 443599.79759999906, 203218.2142 443616.148600001, 203201.4457 443660.264, 203199.1803 443666.2236, 203196.4675 443673.3608, 203189.6832 443691.2096, 203170.2756 443742.266799999, 203219.6939 443761.1294, 203244.9575 443770.7718, 203287.539 443787.024499999, 203319.7455 443799.3178, 203334.626 443760.667300001))","37.49237962946542, 127.03686347002896",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020,1,2110965,7,117776.25431711148,98670.78335949764,101400.92307692308,90605.4929356358,194710.6028257457,134383.83673469388,2309.0,1512.0,0.0,1512.0,1139.0,64.0,26.0,366.0,202.0,48.0,44.0,7.0,1.0,805042,168558,173478,122590,119820,134697,85900,120453,125145,123193,123491,119825,97117,95819,203347,445201,11680,"POLYGON ((203537.013 445142.2903, 203509.8584 445132.255999999, 203496.0952 445127.17039999895, 203474.1527 445119.0625, 203449.2943 445109.8772, 203373.5353 445081.884199999, 203353.9896 445137.749399999, 203315.6731 445123.467, 203278.0116 445109.429400001, 203250.902 445099.32399999903, 203242.2412 445090.86700000096, 203228.7356 445077.6789, 203210.9008 445071.0407, 203177.3753 445058.562200001, 203152.0034 445126.4463, 203126.5455 445194.5582, 203158.854 445206.568700001, 203188.6286 445217.6371, 203219.5892 445229.146500001, 203249.2267 445240.16389999905, 203287.8322 445254.5154, 203350.1453 445277.680299999, 203325.1395 445343.7753, 203419.3917 445343.685799999, 203443.651 445312.442500001, 203490.0756 445252.651699999, 203528.4471 445203.2348, 203567.1276 445153.4178, 203537.013 445142.2903))","37.5062728314113, 127.03785426242342",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
